name,email,password,languages,birth_date,country,course,situationLaboral,role,dateCreated,gender,eventsConfi,imageUrl,firstOnBoard,conocimientos,quieroAprender,interests
Dott. Calcedonio Canetta,dott..calcedonio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Italiano', 'Alemán']",2005-04-15,Italia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.323155,male,[],https://dummyimage.com/369x450,True,"['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ea']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0eb']","['64879ed95340903bb1ebb10d', '64879ed95340903bb1ebb113']"
Trinidad Pavón-Posada,trinidad.pavón-posada@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Inglés', 'Alemán']",1990-02-21,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.340644,male,[],https://picsum.photos/672/241,True,['64879e9a5340903bb1ebb0e9'],['64879e9a5340903bb1ebb0e8'],"['64879ed95340903bb1ebb10c', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb107', '64879ed95340903bb1ebb10a']"
Univ.Prof. Torsten Eigenwillig MBA.,univ.prof..torsten@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Inglés', 'Italiano', 'Francés']",1995-02-13,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.356358,male,[],https://placekitten.com/808/80,True,"['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ea']","['64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb102']"
Nicolai Warmer,nicolai.warmer@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Castellano', 'Francés', 'Inglés']",2003-06-08,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.368136,male,[],https://picsum.photos/415/977,True,"['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ed']","['64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ef']","['64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb100', '64879ed95340903bb1ebb10d']"
Guiomar Baldomero Figueroa Castejón,guiomar.baldomero@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano']",1995-07-26,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.379568,male,[],https://dummyimage.com/403x607,True,['64879e9a5340903bb1ebb0ed'],['64879e9a5340903bb1ebb0ec'],"['64879ed95340903bb1ebb10a', '64879ed95340903bb1ebb106', '64879ed95340903bb1ebb0fb', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb0fc']"
Karlfried Wähner,karlfried.wähner@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Inglés']",1996-05-02,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.391226,male,[],https://picsum.photos/481/671,True,"['64879e9a5340903bb1ebb0e7', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0ea']","['64879ed95340903bb1ebb0fd', '64879ed95340903bb1ebb112', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fe']"
Raymond Dumas,raymond.dumas@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Castellano', 'Italiano']",2002-04-01,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.407631,male,[],https://picsum.photos/856/144,True,"['64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0ec', '64879e9a5340903bb1ebb0e7']","['64879e9a5340903bb1ebb0ee', '64879e9a5340903bb1ebb0ed', '64879e9a5340903bb1ebb0eb']","['64879ed95340903bb1ebb101', '64879ed95340903bb1ebb116', '64879ed95340903bb1ebb10d']"
Mr. Antonio Johnson,mr..antonio@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano', 'Alemán', 'Francés', 'Castellano']",1982-11-07,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.423212,male,[],https://placekitten.com/979/932,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0ef'],"['64879ed95340903bb1ebb10f', '64879ed95340903bb1ebb104', '64879ed95340903bb1ebb108', '64879ed95340903bb1ebb113', '64879ed95340903bb1ebb116']"
Eusebio del Castillo,eusebio.del@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Castellano', 'Alemán', 'Italiano']",1996-10-27,España,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.435005,male,[],https://dummyimage.com/901x892,True,"['64879e9a5340903bb1ebb0e9', '64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0e8', '64879e9a5340903bb1ebb0ee']","['64879e9a5340903bb1ebb0ef', '64879e9a5340903bb1ebb0f0', '64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0ed']","['64879ed95340903bb1ebb110', '64879ed95340903bb1ebb0fe', '64879ed95340903bb1ebb114', '64879ed95340903bb1ebb0fa']"
Herr Magnus Eberhardt MBA.,herr.magnus@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Alemán', 'Italiano', 'Francés']",2000-04-17,Alemania,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.446509,male,[],https://picsum.photos/47/449,True,"['64879e9a5340903bb1ebb0ea', '64879e9a5340903bb1ebb0f0']","['64879e9a5340903bb1ebb0eb', '64879e9a5340903bb1ebb0e8']","['64879ed95340903bb1ebb104', '64879ed95340903bb1ebb0fc', '64879ed95340903bb1ebb108', '64879ed95340903bb1ebb0fa', '64879ed95340903bb1ebb100']"
Frédéric de Cohen,frédéric.de@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Francés', 'Alemán', 'Italiano', 'Inglés', 'Castellano']",1989-01-09,Francia,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.457578,male,[],https://dummyimage.com/588x168,True,['64879e9a5340903bb1ebb0eb'],['64879e9a5340903bb1ebb0ec'],['64879ed95340903bb1ebb115']
Austin Cooper,austin.cooper@edem.es,728e6cca58a5b904a5a9c6bac40bfeae8733909ee7d7191d042a6e8dd241e136,"['Inglés', 'Italiano']",1995-09-07,Estados Unidos,64879f03e785526bbd480f36,Estudiante,user,2023-06-12T22:51:44.468929,male,[],https://dummyimage.com/125x729,True,['64879e9a5340903bb1ebb0e8'],['64879e9a5340903bb1ebb0ee'],"['64879ed95340903bb1ebb100', '64879ed95340903bb1ebb101', '64879ed95340903bb1ebb10b', '64879ed95340903bb1ebb0fe']"
